#{"t_start": 1747916898.2736607, "env_id": "None"}
r,l,t
-1.3,500,1070.144736
-1.5,500,1071.003856
-1.5,500,1071.837454
-1.4,500,1072.693174
-0.5,500,1073.534517
-1.2,500,1074.411933
-1.1,500,1075.263443
-1.2,500,1076.137899
-1.5,500,1076.956431
-1.6,500,1077.811521
-1.3,500,1078.74653
0.0,500,1079.100337
0.0,500,1079.522077
0.0,500,1079.958865
0.0,500,1080.528574
0.0,500,1080.926852
-1.3,500,1082.092809
-0.9,500,1083.500587
-1.8,500,1084.779862
-1.9,500,1085.699831
-2.0,500,1086.889035
-1.3,500,1088.443361
-1.6,500,1091.213977
-1.6,500,1093.167521
-1.4,500,1094.957575
-1.6,500,1096.477168
-1.5,500,1098.228182
-1.7,500,1100.109377
-1.7,500,1101.628215
-1.2,500,1103.107706
-2.0,500,1104.577557
-1.7,500,1106.066537
-1.5,500,1107.629863
-0.7,500,1109.181518
-0.9,500,1110.860353
-1.3,500,1111.983539
0.0,500,1112.455723
0.0,500,1112.883476
0.0,500,1113.335796
0.0,500,1113.736584
0.0,500,1114.14333
-1.4,500,1115.289921
-2.1,500,1116.59801
-2.2,500,1117.827683
-1.1,500,1118.946721
-1.4,500,1120.162593
-0.9,500,1121.23948
-1.1,500,1122.200629
-1.1,500,1123.145579
-1.2,500,1124.187751
-1.0,500,1125.209513
-1.5,500,1126.194031
-1.0,500,1127.161539
-1.1,500,1128.126548
-1.0,500,1129.075565
-2.1,500,1130.060575
-1.1,500,1131.1197
-0.7,500,1139.625455
-1.1,500,1140.812775
-1.8,500,1142.492808
-0.7,500,1143.549203
0.0,500,1143.947977
0.0,500,1144.316762
0.0,500,1144.762511
0.0,500,1145.358165
0.0,500,1145.931836
-1.9,500,1147.569497
-0.5,500,1149.007279
-1.5,500,1150.421044
-1.4,500,1152.004132
-1.1,500,1153.616381
-1.0,500,1155.193485
-1.3,500,1156.71361
-1.1,500,1158.00192
-1.0,500,1159.143778
-1.2,500,1160.331609
-1.5,500,1161.71862
-1.6,500,1162.892447
-1.9,500,1164.006383
-1.2,500,1165.267626
-1.8,500,1166.316607
-0.9,500,1167.254578
-1.9,500,1168.166595
-1.2,500,1169.089657
-1.5,500,1170.04065
-1.5,500,1171.09373
0.0,500,1171.454507
0.0,500,1171.90525
0.0,500,1172.262645
0.0,500,1172.612255
0.0,500,1172.989988
-1.4,500,1173.988448
-1.3,500,1174.92644
-1.2,500,1175.858442
-1.1,500,1176.865856
-2.1,500,1178.046697
-1.0,500,1179.468531
-0.8,500,1180.553457
-1.8,500,1181.696643
-2.0,500,1183.164317
-1.3,500,1184.824252
-1.2,500,1186.018305
-1.2,500,1186.946487
-1.2,500,1188.160581
-1.0,500,1189.269476
-0.8,500,1190.512377
-1.6,500,1191.743375
-1.2,500,1193.390801
-1.0,500,1195.094198
-1.1,500,1196.055268
-1.2,500,1197.386232
0.0,500,1197.739542
0.0,500,1198.255255
0.0,500,1198.638566
0.0,500,1199.016358
0.0,500,1199.371665
-1.9,500,1200.498247
-1.3,500,1201.499307
-1.3,500,1202.504251
-1.1,500,1203.533191
-1.2,500,1204.571441
-1.1,500,1205.553504
-0.9,500,1206.983375
-1.9,500,1208.534639
-1.6,500,1210.736369
-1.6,500,1212.638325
-0.9,500,1214.485313
-1.1,500,1216.295329
-1.5,500,1218.060219
-1.4,500,1219.561257
-1.1,500,1220.957626
-1.3,500,1222.411311
-1.2,500,1224.050301
-1.5,500,1225.632348
-1.3,500,1227.532321
-1.0,500,1229.326317
0.0,500,1230.031246
0.0,500,1230.780101
0.0,500,1231.468126
0.0,500,1232.098308
0.0,500,1232.708248
-1.6,500,1234.341322
-0.7,500,1235.980909
-1.3,500,1237.497968
-1.3,500,1238.992099
-0.9,500,1240.599358
-1.2,500,1241.590909
-0.6,500,1242.56245
-1.3,500,1243.503309
-1.5,500,1244.596349
-0.7,500,1246.103541
-1.2,500,1247.816582
-1.4,500,1249.318241
